document,page,matched_term,section_context
ind_prs11122025.pdf,15,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Aster DM Healthcare Ltd. A
ind_prs11122025.pdf,19,Nifty 500,Sr. No. Company Name Symbol 15 Hero MotoCorp Ltd. HEROMOTOCO 16 Hindustan Copper Ltd. HINDCOPPER 17 
ind_prs11122025.pdf,22,Nifty 500,Sr. No. Company Name Symbol 7 Bosch Ltd. BOSCHLTD 8 Britannia Industries Ltd. BRITANNIA 9 BSE Ltd. B
ind_prs12032020.pdf,4,Nifty 500,D. On account of non-compliance of SEBI Portfolio Concentration Norms On account of non-compliance o
ind_prs12032020.pdf,5,Nifty 500,4) NIFTY500 Value 50 The following company is being excluded: Sr. No. Company Name Symbol 1 Magma Fi
ind_prs12032026.pdf,6,Nifty 500,D. Replacements on account of monthly review of Nifty Shariah indices: 1) Nifty500 Shariah The follo
ind_prs13032025.pdf,6,Nifty 500,Sr. No. Company Name Symbol 8 Tata Motors Ltd. TATAMOTORS 9 Titan Company Ltd. TITAN The following c
ind_prs13052020.pdf,2,Nifty 500,B. Revision in eligibility criteria for NIFTY 100: The Index Maintenance Sub-Committee (IMSC) of NSE
ind_prs13072026_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 13, 2026 Replacement in indices The Index Maintenance Sub-Committee (Equi"
ind_prs13072026_1.pdf,3,Nifty 500,6) Nifty Smallcap 500 The following company is being excluded: Sr. No. Company Name Symbol 1 J.B. Ch
ind_prs13072026_1.pdf,4,Nifty 500,9) Nifty500 Multicap India Manufacturing 50:30:20 The following company is being excluded: Sr. No. C
ind_prs13072026_1.pdf,5,Nifty 500,12) Nifty500 Flexicap Quality 30 The following company is being excluded: Sr. No. Company Name Symbo
ind_prs13072026_1.pdf,6,Nifty 500,15) Nifty Total Market Momentum Quality 50 The following company is being excluded: Sr. No. Company 
ind_prs13072026_1.pdf,7,Nifty 500,18) Nifty Smallcap250 Momentum Quality 100 The following company is being excluded: Sr. No. Company 
ind_prs15062021.pdf,1,Nifty 500,"Press Release June 15, 2021 Replacements in Indices The Index Maintenance Sub-Committee (Equity) of "
ind_prs15062021.pdf,7,Nifty 500,9) NIFTY500 Value 50 The following companies are being excluded: Sr. No. Company Name Symbol 1 Cyien
ind_prs15062022.pdf,6,Nifty 500,9) Nifty500 Value 50 The following companies are being excluded: Sr. No. Company Name Symbol 1 Equit
ind_prs15072025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 15, 2025 Corporate Action Adjustment for Valor Estate Ltd. in Nifty indic"
ind_prs15092021.pdf,5,Nifty 500,Few stakeholders are in discussions with NSE Indices and have raised certain concerns regarding incl
ind_prs15092021.pdf,7,Nifty 500,Sr. No. Company Name Symbol 17 Nazara Technologies Ltd. NAZARA 18 Poonawalla Fincorp Ltd. POONAWALLA
ind_prs15092023.pdf,5,Nifty 500,C. Replacements on account of monthly review of Nifty Shariah indices: On account of monthly review 
ind_prs15092025.pdf,5,Nifty 500,Sr. No. Company Name Symbol 2 State Bank of India SBIN No changes are being made to Nifty Low Volati
ind_prs15092025_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, September 15, 2025 Replacements in indices The Index Maintenance Sub-Committee"
ind_prs15092025_1.pdf,3,Nifty 500,6) Nifty Microcap 250 The following company is being excluded: Sr. No. Company Name Symbol 1 Relianc
ind_prs16092022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, September 16, 2022 Replacements in indices The Index Maintenance Sub-Committee"
ind_prs16092022.pdf,2,Nifty 500,The following company is being included: Sr. No. Company Name Symbol 1 Shoppers Stop Ltd. SHOPERSTOP
ind_prs16092022.pdf,8,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Bank of Baroda BANKBARODA 
ind_prs16122019.pdf,1,Nifty 500,"Press Release December 16, 2019 Replacements and revision in Index criteria The Index Maintenance Su"
ind_prs16122019.pdf,3,Nifty 500,v) Corporation Bank: On account of proposed amalgamation of Corporation Bank into Union Bank of Indi
ind_prs16122019.pdf,12,Nifty 500,Sr. No. Company Name Symbol 4 Mahindra & Mahindra Financial Services Ltd. M&MFIN 5 Pfizer Ltd. PFIZE
ind_prs17022023_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 17, 2023 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs17022023_1.pdf,3,Nifty 500,Sr. No. Company Name Symbol 15 KFin Technologies Ltd. KFINTECH 16 KSB Ltd. KSB 17 Meghmani Finechem 
ind_prs17032025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, March 17, 2025 Replacement in indices NSE vide its circular NSE/CML/67118 date"
ind_prs17032025.pdf,2,Nifty 500,3) Nifty MidSmallcap 400 The following company is being excluded: Sr. No. Company Name Symbol 1 ICIC
ind_prs17032025.pdf,3,Nifty 500,6) Nifty India New Age Consumption The following company is being excluded: Sr. No. Company Name Sym
ind_prs17032025.pdf,4,Nifty 500,9) Nifty Smallcap250 Momentum Quality 100 The following company is being excluded: Sr. No. Company N
