period,policy,net_return_pct,gross_return_pct,max_drawdown_pct,sharpe,sortino,turnover,direct_costs,average_exposure,cash_utilization,completed_trades,average_holding_period,capacity_blocks,expired_queued_opportunities,top_1_signal_date_profit_share,top_5_signal_date_profit_share,top_10_signal_date_profit_share,top_strategy_profit_share,top_sector_profit_share,result_hash
FULL,R0_505027,92.69745710549266,128.4793286363586,-41.620178074557636,0.6393177486146902,0.8957271767978391,252.08727461200132,357818.715308659,835641.8606241256,0.705707066043954,1432,10.129888268156424,1755,42112,0.018255580495944928,0.06115582531555262,0.09998415682142155,0.5248446222201971,0.6491600216213884,e4b691960ff5c933385d233426ad354441d07d22acbb08b929e3ce54144b2ac3
FULL,R0_530017,76.65897705546101,106.6989537222224,-47.86815732826118,0.5595336872722038,0.8285906723220049,214.69911849061697,300399.7666676139,853270.1945299902,0.7406090004436923,1237,10.501212611156022,1752,42304,0.040287475036639306,0.0992698002460476,0.14678005565795746,0.6113733476530456,0.667403530433785,ec25b628adbe4d2964874b9570830110e9515e32498e91e0a8ab986b8f712c96
FULL,R0_555029,140.0696330062452,177.5799780503301,-43.746598498703904,0.8592826024291099,1.2337942130309847,237.36285432255602,375103.45044084964,929328.9898015704,0.6983085169706744,1362,10.21071953010279,1750,42179,0.014992245958388283,0.06307981953486744,0.10844695774347778,0.5264750546314034,0.6556412949633784,9b6046d6d56c26a467507822af06a651bc4ee73dc30fc376fbc3aba4d301132c
FULL,R0_580031,157.7771560457702,200.45086033716987,-35.713387940603745,0.8568553773954262,1.2177989629249177,246.28729334312544,426737.04291399696,1048111.7473063023,0.7039125040811471,1411,10.299078667611623,1755,42134,0.02230422719388998,0.06698479234321619,0.1080719080130081,0.5433876906754677,0.711069295171088,acecbe7c7ffed7f69434523c2b64751c42d1f25311f85cb7ded6ed5745baf74e
FOLD_1,C0,27.363701188171284,33.28384799999999,-22.231731870684534,1.0557604941977765,1.441264025081805,45.68654377615853,59201.46811828723,663960.0646712454,0.6322821702132411,270,10.044444444444444,329,5118,0.044512421123533145,0.1571725364528201,0.27407251093792606,0.47843173063877886,1.0,51df5b34932b939c8113ddebc1a6cd5f03d317534086a0043b4e94088f79cff9
FOLD_1,C1,56.73700847899275,62.122955000000005,-19.44070853305504,1.8280425728254632,2.7102736505826446,37.741518593392556,53859.465210072594,602703.8636607142,0.5410582792385223,264,10.287878787878787,327,5123,0.0844696071453757,0.22519969996320582,0.3554626089637616,0.8868023086706851,1.0,b380b0f1a02564cbb468fd65a32944454216046d80a2ea0a9c7ee4e87f947d8c
FOLD_1,C2,8.925257179321665,14.178514949999933,-26.10797984963844,0.4497829263443809,0.5887285837308122,43.819170624097275,52532.57770678266,580399.0548557692,0.6056033281149329,271,10.062730627306273,328,5116,0.06252424537645283,0.23115543583916903,0.35733093609728456,0.7371674900753422,1.0,a64e5fe0e78469a174fc1ab9aa78be536d6c9235fa57d8c1d3afe7403e58f6d9
FOLD_1,R0_104729,8.039781070756447,13.519394333333267,-24.10395295879705,0.4125611727821974,0.5683869598133581,45.23553354455683,54796.13262576827,613795.6587728938,0.6281679902796437,267,10.262172284644194,329,5120,0.05066303448319637,0.2029436770518781,0.3119420876642971,0.5426841645925873,1.0,b5e44872c4b296b1d747e17a80349a7379b8ad5d2c584de6b6c87718d4d7ccaa
FOLD_1,R0_130363,7.982635973025731,13.6446738993399,-21.65762404321181,0.4001630006852774,0.5225732032878452,45.98450819030459,56620.379263141745,626266.0793357178,0.6281633042242827,271,10.007380073800737,328,5116,0.0340498106765428,0.14572454675961805,0.2570917839647801,0.6425352635169171,0.9999999999999999,da89c704de2d41b3e11ca42e273022a5a098f8e0afbe5a367d545523727040aa
FOLD_1,R0_155921,15.49291933916923,21.23375716666662,-20.552332855459,0.6945517193616173,0.9368639733935372,46.51740724963594,57408.37827497398,637219.5121199633,0.6384261918684585,272,10.003676470588236,327,5115,0.043144720774861395,0.16397718337116882,0.2770835005801745,0.535012015754742,1.0,326cc1a201172a19bafda493f2e2901680a171edd423f5897ebd9d9993bbdfd8
