date,cash,mtm_pos_val,total_equity,open_positions_cnt,split
2025-11-25,55469.4932191656,985840.0529174805,1041309.5461366461,10,VALIDATION
2025-11-26,55469.4932191656,1000706.2875366211,1056175.7807557867,10,VALIDATION
2025-11-27,55469.4932191656,1000671.4008178711,1056140.8940370367,10,VALIDATION
2025-11-28,54308.43071852259,995861.7297821045,1050170.160500627,10,VALIDATION
2025-12-01,54308.43071852259,991997.4898376465,1046305.9205561691,10,VALIDATION
2025-12-02,54308.43071852259,995324.1201477051,1049632.5508662276,10,VALIDATION
2025-12-03,54308.43071852259,979144.5755615234,1033453.0062800461,10,VALIDATION
2025-12-04,54308.43071852259,979660.5688476562,1033968.9995661789,10,VALIDATION
2025-12-05,54308.43071852259,994084.1203613281,1048392.5510798508,10,VALIDATION
2025-12-08,54308.43071852259,977739.3277587891,1032047.7584773117,10,VALIDATION
2025-12-09,54308.43071852259,996423.4877471924,1050731.918465715,10,VALIDATION
2025-12-10,54308.43071852259,996670.8945770264,1050979.325295549,10,VALIDATION
2025-12-11,54308.43071852259,990359.5526275635,1044667.9833460861,10,VALIDATION
2025-12-12,54070.49797202012,994156.9348144531,1048227.4327864733,10,VALIDATION
2025-12-15,54070.49797202012,999352.372253418,1053422.8702254381,10,VALIDATION
2025-12-16,54070.49797202012,994224.9667358398,1048295.46470786,10,VALIDATION
2025-12-17,54070.49797202012,994480.2064208984,1048550.7043929186,10,VALIDATION
2025-12-18,54070.49797202012,995634.6484985352,1049705.1464705553,10,VALIDATION
2025-12-19,54070.49797202012,1005030.3540039062,1059100.8519759264,10,VALIDATION
2025-12-22,54070.49797202012,1011697.606048584,1065768.1040206042,10,VALIDATION
2025-12-23,54070.49797202012,1005252.7775268555,1059323.2754988756,10,VALIDATION
2025-12-24,54070.49797202012,1005275.6231384277,1059346.121110448,10,VALIDATION
2025-12-26,54070.49797202012,1004304.738861084,1058375.2368331042,10,VALIDATION
2025-12-29,76806.77662696895,988815.0053710938,1065621.7819980627,10,VALIDATION
2025-12-30,76806.77662696895,997527.3024139404,1074334.0790409094,10,VALIDATION
2025-12-31,76806.77662696895,1007599.2314758301,1084406.008102799,10,VALIDATION
2026-01-01,76806.77662696895,1013729.1527862549,1090535.9294132239,10,VALIDATION
2026-01-02,76806.77662696895,1017183.0612487793,1093989.8378757483,10,VALIDATION
2026-01-05,76806.77662696895,1021056.5388793945,1097863.3155063635,10,VALIDATION
2026-01-06,76806.77662696895,1015183.5311126709,1091990.30773964,10,VALIDATION
2026-01-07,76806.77662696895,1017105.1025390625,1093911.8791660315,10,VALIDATION
2026-02-03,76806.77662696895,1055925.2389831543,1132732.0156101233,10,VALIDATION
2026-02-18,28860.347538004193,967209.3542480469,996069.701786051,10,TEST
2026-02-23,28860.347538004193,982768.0751953125,1011628.4227333167,10,TEST
2026-04-15,28860.347538004193,967366.6833496094,996227.0308876135,10,TEST
2026-04-16,28860.347538004193,971366.5534667969,1000226.901004801,10,TEST
2026-04-17,28860.347538004193,974002.10546875,1002862.4530067542,10,TEST
2026-04-20,28860.347538004193,985226.9719238281,1014087.3194618323,10,TEST
2026-04-21,28860.347538004193,984549.51171875,1013409.8592567542,10,TEST
2026-04-22,28860.347538004193,987795.130859375,1016655.4783973792,10,TEST
2026-05-06,28860.347538004193,1016692.0339355469,1045552.381473551,10,TEST
2026-05-07,28860.347538004193,1036734.0153808594,1065594.3629188635,10,TEST
2026-05-25,25847.020828539215,991725.3758239746,1017572.3966525139,10,TEST
2026-06-15,25847.020828539215,998095.8272705078,1023942.8480990471,10,TEST
2026-06-16,25847.020828539215,994126.065032959,1019973.0858614983,10,TEST
2026-06-17,25847.020828539215,998273.3677062988,1024120.3885348381,10,TEST
2026-06-18,25847.020828539215,1011762.141998291,1037609.1628268303,10,TEST
2026-06-19,25847.020828539215,1009979.4083251953,1035826.4291537346,10,TEST
2026-06-22,25847.020828539215,1012108.1776733398,1037955.1985018791,10,TEST
2026-06-24,25847.020828539215,999612.9575805664,1025459.9784091057,10,TEST
2026-06-25,25847.020828539215,986309.9821777344,1012157.0030062736,10,TEST
2026-06-29,25847.020828539215,967807.7023925781,993654.7232211174,10,TEST
2026-06-30,45809.00629604816,982927.417175293,1028736.4234713411,10,TEST
2026-07-01,45809.00629604816,971080.6957702637,1016889.7020663118,10,TEST
2026-07-02,45809.00629604816,968096.9593200684,1013905.9656161165,10,TEST
2026-07-03,45809.00629604816,965932.2994384766,1011741.3057345247,10,TEST
2026-07-06,45809.00629604816,964529.2150878906,1010338.2213839388,10,TEST
2026-07-07,45809.00629604816,953373.7594604492,999182.7657564974,10,TEST
2026-07-09,45809.00629604816,947791.6952514648,993600.701547513,10,TEST
2026-07-10,45809.00629604816,951286.2475280762,997095.2538241243,10,TEST
2026-07-13,45809.00629604816,953940.4984436035,999749.5047396517,10,TEST
2026-07-14,45809.00629604816,955466.2155456543,1001275.2218417025,10,TEST
2026-07-15,10664.37442027226,988538.8685913086,999203.2430115809,10,TEST
2026-07-16,10664.37442027226,988120.2470092773,998784.6214295496,10,TEST
2026-07-17,10664.37442027226,984683.7353515625,995348.1097718348,10,TEST
2026-07-20,10664.37442027226,993398.9179382324,1004063.2923585047,10,TEST
2026-07-21,10664.37442027226,997705.6312866211,1008370.0057068934,10,TEST
2026-07-22,10664.37442027226,995015.4379272461,1005679.8123475184,10,TEST
